caseID,cutoffTs,createdOn,modifiedOn,resolvedOn
36,2026-09-25 03:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
37,2026-09-25 02:00:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
38,2026-09-25 08:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
39,2026-09-24 19:00:00,2026-09-24 17:45:00,2026-09-24 18:00:00,
40,2026-09-25 11:00:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
41,2026-09-25 14:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,2026-09-24 23:45:00
42,2026-09-25 16:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,2026-09-24 23:45:00
43,2026-09-25 09:00:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
44,2026-09-25 03:00:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
45,2026-09-25 02:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
46,2026-09-25 21:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
47,2026-09-25 11:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
48,2026-09-25 10:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
49,2026-09-25 08:00:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
50,2026-09-25 13:00:00,2026-09-24 23:15:00,2026-09-24 23:30:00,2026-09-24 23:45:00
51,2026-09-25 03:15:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
52,2026-09-26 23:30:00,2026-09-24 23:15:00,2026-09-24 23:30:00,
